,upc,sku,
902,8.88793E+11,0,0
903,7.66653E+11,0,0
904,8.89661E+11,0,0
905,8.89894E+11,288778972,1
906,8.88863E+11,286948303,1
907,8.82659E+11,270277550,1
908,8.89894E+11,291984104,1
909,7.18038E+11,0,0
910,22265823040,285928240,1
911,8.89296E+11,278041857,1
912,8.88793E+11,0,0
913,8.89349E+11,0,0
914,96633105755,208344398,1
915,22265890011,277730488,1
916,8.89894E+11,285883421,1
917,8.89297E+11,0,0
918,7.25184E+11,285617836,1
